
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.1039      | 0.0548      | 0.0548      | 0.9860      | 
| 10.png                   | 0.0852      | 0.0445      | 0.0445      | 1.0000      | 
| 100.png                  | 0.0518      | 0.0266      | 0.0266      | 0.9971      | 
| 1000.png                 | 0.0277      | 0.0141      | 0.0141      | 0.9799      | 
| 1001.png                 | 0.0306      | 0.0156      | 0.0156      | 0.9556      | 
| 1002.png                 | 0.0246      | 0.0125      | 0.0125      | 0.9770      | 
| 1003.png                 | 0.0332      | 0.0169      | 0.0169      | 0.9926      | 
| 1004.png                 | 0.0272      | 0.0138      | 0.0138      | 0.9547      | 
| 1005.png                 | 0.0218      | 0.0110      | 0.0110      | 0.9983      | 
| 1006.png                 | 0.0287      | 0.0146      | 0.0146      | 0.9404      | 
| 1007.png                 | 0.0259      | 0.0131      | 0.0131      | 0.9828      | 
| 1008.png                 | 0.0373      | 0.0190      | 0.0190      | 0.9956      | 
| 1009.png                 | 0.0263      | 0.0133      | 0.0133      | 0.9947      | 
| 101.png                  | 0.0649      | 0.0335      | 0.0335      | 0.9976      | 
| 1010.png                 | 0.0185      | 0.0094      | 0.0094      | 0.9197      | 
| 1011.png                 | 0.0203      | 0.0103      | 0.0103      | 0.9693      | 
| 1012.png                 | 0.0199      | 0.0101      | 0.0101      | 0.9585      | 
| 1013.png                 | 0.0186      | 0.0094      | 0.0094      | 0.9742      | 
| 1017.png                 | 0.0259      | 0.0131      | 0.0131      | 0.9788      | 
| 1018.png                 | 0.0423      | 0.0216      | 0.0216      | 0.9738      | 
| 1019.png                 | 0.0527      | 0.0270      | 0.0270      | 1.0000      | 
| 102.png                  | 0.0869      | 0.0454      | 0.0454      | 0.9981      | 
| 1020.png                 | 0.0538      | 0.0277      | 0.0277      | 0.9984      | 
| 1021.png                 | 0.0881      | 0.0461      | 0.0462      | 0.9567      | 
| 1022.png                 | 0.0634      | 0.0327      | 0.0327      | 0.9978      | 
| 1023.png                 | 0.0609      | 0.0314      | 0.0314      | 0.9802      | 
| 1024.png                 | 0.0342      | 0.0174      | 0.0174      | 0.9940      | 
| 1025.png                 | 0.0190      | 0.0096      | 0.0096      | 0.9840      | 
| 1026.png                 | 0.0233      | 0.0118      | 0.0118      | 0.9873      | 
| 1027.png                 | 0.0256      | 0.0129      | 0.0129      | 0.9871      | 
| 103.png                  | 0.0557      | 0.0286      | 0.0286      | 1.0000      | 
| 1032.png                 | 0.0511      | 0.0262      | 0.0262      | 0.9798      | 
