
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
------------------------------------------------------------------------------------
| 1.png                    | 0.8850      | 0.7937      | 0.8559      | 0.9162      |
| 10.png                   | 0.8947      | 0.8094      | 0.9921      | 0.8147      |
| 100.png                  | 0.6612      | 0.4938      | 0.5270      | 0.8870      |
| 1000.png                 | 0.7868      | 0.6485      | 0.6763      | 0.9403      |
| 1001.png                 | 0.6308      | 0.4607      | 0.4813      | 0.9152      |
| 1002.png                 | 0.9018      | 0.8212      | 0.9822      | 0.8336      |
| 1003.png                 | 0.8104      | 0.6813      | 0.7275      | 0.9147      |
| 1004.png                 | 0.7637      | 0.6178      | 0.6653      | 0.8964      |
| 1005.png                 | 0.8470      | 0.7346      | 0.7982      | 0.9022      |
| 1006.png                 | 0.2443      | 0.1391      | 0.1416      | 0.8861      |
| 1007.png                 | 0.7017      | 0.5405      | 0.5580      | 0.9450      |
| 1008.png                 | 0.9070      | 0.8299      | 0.8781      | 0.9380      |
| 1009.png                 | 0.9203      | 0.8524      | 0.9542      | 0.8887      |
| 101.png                  | 0.5111      | 0.3432      | 0.3507      | 0.9420      |
| 1010.png                 | 0.0427      | 0.0218      | 0.0219      | 0.8692      |
| 1011.png                 | 0.0367      | 0.0187      | 0.0187      | 0.9155      |
| 1012.png                 | 0.0332      | 0.0169      | 0.0169      | 0.8850      |
| 1013.png                 | 0.0319      | 0.0162      | 0.0162      | 0.9216      |
| 1017.png                 | 0.2215      | 0.1246      | 0.1250      | 0.9691      |
| 1018.png                 | 0.8728      | 0.7743      | 1.0000      | 0.7743      |
| 1019.png                 | 0.9625      | 0.9278      | 0.9759      | 0.9496      |
| 102.png                  | 0.1132      | 0.0600      | 0.0600      | 1.0000      |
| 1020.png                 | 0.9545      | 0.9129      | 0.9716      | 0.9379      |
| 1021.png                 | 0.4997      | 0.3331      | 0.3414      | 0.9318      |
| 1022.png                 | 0.8397      | 0.7237      | 0.7242      | 0.9989      |
| 1023.png                 | 0.5543      | 0.3834      | 0.3996      | 0.9043      |
| 1024.png                 | 0.2884      | 0.1685      | 0.1761      | 0.7965      |
| 1025.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1026.png                 | 0.0459      | 0.0235      | 0.0235      | 0.9684      |
| 1027.png                 | 0.2002      | 0.1112      | 0.1112      | 0.9995      |
| 103.png                  | 0.9155      | 0.8442      | 0.9253      | 0.9060      |
| 1032.png                 | 0.3516      | 0.2133      | 0.2165      | 0.9354      |
| 1033.png                 | 0.2714      | 0.1570      | 0.1589      | 0.9274      |
| 1035.png                 | 0.9454      | 0.8965      | 0.9610      | 0.9303      |
| 1036.png                 | 0.9191      | 0.8504      | 0.9511      | 0.8892      |
| 1037.png                 | 0.9112      | 0.8369      | 0.8935      | 0.9296      |
| 1038.png                 | 0.9227      | 0.8564      | 0.9143      | 0.9312      |
| 1039.png                 | 0.9175      | 0.8476      | 0.9262      | 0.9090      |
| 1040.png                 | 0.8481      | 0.7363      | 0.8465      | 0.8497      |
| 1041.png                 | 0.8887      | 0.7997      | 0.9831      | 0.8108      |
| 1042.png                 | 0.0568      | 0.0293      | 0.0293      | 1.0000      |
| 1043.png                 | 0.0693      | 0.0359      | 0.0359      | 1.0000      |
| 1045.png                 | 0.9204      | 0.8526      | 0.9571      | 0.8865      |
| 1046.png                 | 0.5991      | 0.4276      | 0.4563      | 0.8719      |
| 1047.png                 | 0.8639      | 0.7603      | 0.8995      | 0.8310      |
| 1048.png                 | 0.9507      | 0.9061      | 0.9823      | 0.9211      |
| 1049.png                 | 0.9256      | 0.8615      | 0.9371      | 0.9145      |
| 105.png                  | 0.9185      | 0.8493      | 0.9927      | 0.8546      |
| 1050.png                 | 0.6391      | 0.4696      | 0.5028      | 0.8767      |
| 1051.png                 | 0.9351      | 0.8782      | 0.9864      | 0.8890      |
| 1052.png                 | 0.9238      | 0.8584      | 0.9800      | 0.8737      |
| 1053.png                 | 0.7853      | 0.6465      | 0.7252      | 0.8563      |
| 1054.png                 | 0.0823      | 0.0429      | 0.0430      | 0.9685      |
| 1055.png                 | 0.0774      | 0.0402      | 0.0402      | 1.0000      |
| 1056.png                 | 0.8012      | 0.6684      | 0.8319      | 0.7728      |
| 1057.png                 | 0.0867      | 0.0453      | 0.0453      | 1.0000      |
| 1058.png                 | 0.4675      | 0.3051      | 0.3357      | 0.7700      |
| 1061.png                 | 0.2315      | 0.1309      | 0.1327      | 0.9075      |
| 1062.png                 | 0.0620      | 0.0320      | 0.0320      | 1.0000      |
| 1063.png                 | 0.5716      | 0.4002      | 0.4736      | 0.7207      |
| 1066.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1070.png                 | 0.7629      | 0.6167      | 0.9888      | 0.6211      |
| 1071.png                 | 0.0287      | 0.0146      | 0.0146      | 1.0000      |
| 1072.png                 | 0.0270      | 0.0137      | 0.0138      | 0.7537      |
| 1075.png                 | 0.4715      | 0.3085      | 1.0000      | 0.3085      |
| 1076.png                 | 0.4345      | 0.2775      | 1.0000      | 0.2775      |
| 1087.png                 | 0.7845      | 0.6453      | 0.9168      | 0.6855      |
| 1089.png                 | 0.7413      | 0.5890      | 0.9585      | 0.6044      |
| 109.png                  | 0.1580      | 0.0858      | 0.0858      | 1.0000      |
| 1090.png                 | 0.8371      | 0.7199      | 0.9697      | 0.7365      |
| 1091.png                 | 0.8482      | 0.7364      | 0.9742      | 0.7511      |
| 1092.png                 | 0.8846      | 0.7931      | 0.9533      | 0.8252      |
| 1094.png                 | 0.6101      | 0.4389      | 0.7436      | 0.5172      |
| 1095.png                 | 0.7779      | 0.6365      | 1.0000      | 0.6365      |
| 1096.png                 | 0.7702      | 0.6263      | 0.9675      | 0.6397      |
| 1097.png                 | 0.8041      | 0.6724      | 0.8507      | 0.7623      |
| 1098.png                 | 0.0763      | 0.0396      | 0.0401      | 0.7878      |
| 1099.png                 | 0.1021      | 0.0538      | 0.0538      | 1.0000      |
| 11.png                   | 0.9581      | 0.9196      | 0.9857      | 0.9320      |
| 1100.png                 | 0.6296      | 0.4594      | 0.9978      | 0.4598      |
| 1101.png                 | 0.6667      | 0.5000      | 0.9248      | 0.5212      |
| 1102.png                 | 0.0359      | 0.0183      | 0.0184      | 0.8005      |
| 1103.png                 | 0.5750      | 0.4035      | 0.7603      | 0.4622      |
| 1104.png                 | 0.4119      | 0.2594      | 0.3796      | 0.4502      |
| 1105.png                 | 0.5309      | 0.3614      | 0.9895      | 0.3628      |
| 1106.png                 | 0.7402      | 0.5875      | 0.9887      | 0.5915      |
| 1107.png                 | 0.7680      | 0.6234      | 0.9961      | 0.6249      |
| 1108.png                 | 0.7446      | 0.5931      | 0.8006      | 0.6959      |
| 1110.png                 | 0.7860      | 0.6474      | 0.9985      | 0.6481      |
| 1111.png                 | 0.8307      | 0.7104      | 0.9861      | 0.7176      |
| 1114.png                 | 0.7944      | 0.6589      | 0.6717      | 0.9720      |
| 1118.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 112.png                  | 0.8496      | 0.7385      | 0.8572      | 0.8422      |
| 1122.png                 | 0.8921      | 0.8052      | 0.8630      | 0.9232      |
| 1123.png                 | 0.7765      | 0.6347      | 0.6961      | 0.8780      |
| 1125.png                 | 0.0640      | 0.0331      | 0.0331      | 0.9599      |
| 1126.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1127.png                 | 0.7326      | 0.5780      | 0.5973      | 0.9471      |
| 1129.png                 | 0.8672      | 0.7656      | 0.9910      | 0.7709      |
| 113.png                  | 0.9393      | 0.8856      | 0.9739      | 0.9071      |
| 1130.png                 | 0.5257      | 0.3566      | 0.3650      | 0.9393      |
| 1131.png                 | 0.9498      | 0.9043      | 0.9773      | 0.9237      |
| 1132.png                 | 0.9362      | 0.8800      | 0.9415      | 0.9309      |
| 1133.png                 | 0.7455      | 0.5943      | 0.6724      | 0.8366      |
| 1134.png                 | 0.8582      | 0.7516      | 0.9081      | 0.8135      |
| 1135.png                 | 0.8599      | 0.7542      | 0.7842      | 0.9516      |
| 1136.png                 | 0.8392      | 0.7229      | 0.7551      | 0.9443      |
| 1137.png                 | 0.8458      | 0.7328      | 0.8369      | 0.8550      |
| 1138.png                 | 0.4210      | 0.2666      | 0.3056      | 0.6761      |
| 114.png                  | 0.9275      | 0.8648      | 0.9691      | 0.8893      |
| 1140.png                 | 0.8134      | 0.6855      | 0.8614      | 0.7705      |
| 1141.png                 | 0.8383      | 0.7215      | 0.8317      | 0.8449      |
| 1142.png                 | 0.8181      | 0.6922      | 0.7492      | 0.9009      |
| 1143.png                 | 0.6126      | 0.4415      | 0.5773      | 0.6524      |
| 1144.png                 | 0.7491      | 0.5988      | 0.6884      | 0.8215      |
| 1145.png                 | 0.8066      | 0.6759      | 0.7528      | 0.8687      |
| 1146.png                 | 0.9151      | 0.8435      | 0.9851      | 0.8544      |
| 1147.png                 | 0.8545      | 0.7459      | 0.9135      | 0.8026      |
| 1148.png                 | 0.7997      | 0.6663      | 0.7854      | 0.8147      |
| 1149.png                 | 0.5251      | 0.3560      | 0.9697      | 0.3600      |
| 115.png                  | 0.9433      | 0.8926      | 0.9973      | 0.8948      |
| 1151.png                 | 0.1974      | 0.1095      | 0.1122      | 0.8205      |
| 1152.png                 | 0.4039      | 0.2531      | 0.2695      | 0.8061      |
| 1154.png                 | 0.8554      | 0.7473      | 0.8104      | 0.9057      |
| 1155.png                 | 0.2896      | 0.1693      | 0.1699      | 0.9814      |
| 1156.png                 | 0.6031      | 0.4318      | 0.4384      | 0.9660      |
| 1157.png                 | 0.9294      | 0.8681      | 0.9437      | 0.9155      |
| 1158.png                 | 0.1123      | 0.0595      | 0.0604      | 0.7976      |
| 1159.png                 | 0.8851      | 0.7940      | 0.9327      | 0.8422      |
| 116.png                  | 0.9092      | 0.8334      | 0.9327      | 0.8868      |
| 1160.png                 | 0.0572      | 0.0295      | 0.0295      | 1.0000      |
| 1161.png                 | 0.8332      | 0.7140      | 0.7893      | 0.8822      |
| 1162.png                 | 0.9171      | 0.8468      | 0.9795      | 0.8621      |
| 1163.png                 | 0.6266      | 0.4563      | 0.4790      | 0.9057      |
| 1169.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 117.png                  | 0.4960      | 0.3298      | 0.8745      | 0.3462      |
| 1170.png                 | 0.9591      | 0.9214      | 0.9360      | 0.9833      |
| 1171.png                 | 0.9569      | 0.9173      | 0.9754      | 0.9391      |
| 1172.png                 | 0.9563      | 0.9163      | 0.9640      | 0.9487      |
| 1173.png                 | 0.9725      | 0.9465      | 0.9890      | 0.9566      |
| 1174.png                 | 0.9660      | 0.9343      | 0.9736      | 0.9586      |
| 1175.png                 | 0.7967      | 0.6621      | 0.6953      | 0.9327      |
| 1176.png                 | 0.8601      | 0.7545      | 0.9389      | 0.7935      |
| 1177.png                 | 0.5978      | 0.4263      | 0.4398      | 0.9326      |
| 1178.png                 | 0.0690      | 0.0358      | 0.0358      | 0.9896      |
| 1179.png                 | 0.7041      | 0.5433      | 0.5639      | 0.9369      |
| 118.png                  | 0.9268      | 0.8636      | 0.9904      | 0.8709      |
| 1180.png                 | 0.0421      | 0.0215      | 0.0215      | 0.9957      |
| 1182.png                 | 0.2956      | 0.1735      | 0.1743      | 0.9736      |
| 1183.png                 | 0.7442      | 0.5926      | 0.6256      | 0.9181      |
| 1184.png                 | 0.0928      | 0.0487      | 0.0487      | 1.0000      |
| 1185.png                 | 0.8506      | 0.7400      | 0.7722      | 0.9466      |
| 1186.png                 | 0.8631      | 0.7591      | 0.8043      | 0.9311      |
| 1187.png                 | 0.7474      | 0.5967      | 0.6232      | 0.9334      |
| 1188.png                 | 0.0846      | 0.0442      | 0.0446      | 0.8218      |
| 1194.png                 | 0.6425      | 0.4733      | 0.5244      | 0.8293      |
| 1195.png                 | 0.0345      | 0.0175      | 0.0176      | 0.9722      |
| 1197.png                 | 0.3177      | 0.1888      | 0.1942      | 0.8713      |
| 12.png                   | 0.9698      | 0.9414      | 0.9758      | 0.9639      |
| 1202.png                 | 0.4049      | 0.2538      | 0.2795      | 0.7344      |
| 1205.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1219.png                 | 0.6470      | 0.4782      | 0.5006      | 0.9146      |
| 1220.png                 | 0.0539      | 0.0277      | 0.0277      | 0.9399      |
| 1221.png                 | 0.7282      | 0.5726      | 0.6703      | 0.7971      |
| 1222.png                 | 0.0403      | 0.0206      | 0.0206      | 1.0000      |
| 1223.png                 | 0.0536      | 0.0275      | 0.0276      | 0.9625      |
| 1224.png                 | 0.1457      | 0.0786      | 0.0796      | 0.8617      |
| 1225.png                 | 0.1617      | 0.0880      | 0.0955      | 0.5277      |
| 1226.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1227.png                 | 0.0152      | 0.0077      | 0.0077      | 0.9055      |
| 1228.png                 | 0.3497      | 0.2119      | 0.2244      | 0.7912      |
| 1230.png                 | 0.6563      | 0.4885      | 0.6107      | 0.7093      |
| 1236.png                 | 0.2895      | 0.1693      | 0.1715      | 0.9294      |
| 124.png                  | 0.1261      | 0.0673      | 0.0675      | 0.9521      |
| 1244.png                 | 0.8944      | 0.8089      | 0.8449      | 0.9500      |
| 1245.png                 | 0.0414      | 0.0211      | 0.0212      | 0.9824      |
| 1246.png                 | 0.8798      | 0.7853      | 0.7888      | 0.9944      |
| 1247.png                 | 0.7968      | 0.6622      | 0.6800      | 0.9619      |
| 1248.png                 | 0.9113      | 0.8370      | 0.8619      | 0.9666      |
| 1249.png                 | 0.8842      | 0.7924      | 0.7987      | 0.9901      |
| 1250.png                 | 0.7003      | 0.5388      | 0.5443      | 0.9817      |
| 1251.png                 | 0.5310      | 0.3615      | 0.3695      | 0.9433      |
| 1252.png                 | 0.6551      | 0.4871      | 0.4948      | 0.9692      |
| 1253.png                 | 0.6699      | 0.5036      | 0.5141      | 0.9611      |
| 1254.png                 | 0.5924      | 0.4209      | 0.4326      | 0.9394      |
| 1255.png                 | 0.3600      | 0.2195      | 0.2245      | 0.9078      |
| 1256.png                 | 0.5743      | 0.4028      | 0.4035      | 0.9954      |
| 1257.png                 | 0.5692      | 0.3978      | 0.4141      | 0.9101      |
| 1258.png                 | 0.6410      | 0.4717      | 0.4998      | 0.8935      |
| 1259.png                 | 0.5602      | 0.3890      | 0.3951      | 0.9620      |
| 1260.png                 | 0.6053      | 0.4340      | 0.4468      | 0.9381      |
| 1261.png                 | 0.5674      | 0.3961      | 0.4070      | 0.9367      |
| 1262.png                 | 0.6136      | 0.4426      | 0.4476      | 0.9755      |
| 1264.png                 | 0.5261      | 0.3569      | 0.3765      | 0.8728      |
| 1265.png                 | 0.3785      | 0.2334      | 0.2376      | 0.9297      |
| 1266.png                 | 0.0077      | 0.0039      | 0.0039      | 0.9151      |
| 1273.png                 | 0.0348      | 0.0177      | 0.0177      | 0.9465      |
| 1274.png                 | 0.5717      | 0.4003      | 0.4055      | 0.9689      |
| 1276.png                 | 0.9553      | 0.9144      | 0.9782      | 0.9335      |
| 1277.png                 | 0.9270      | 0.8640      | 0.9809      | 0.8787      |
| 1278.png                 | 0.0802      | 0.0418      | 0.0419      | 0.9407      |
| 1281.png                 | 0.4805      | 0.3162      | 0.6436      | 0.3833      |
| 1282.png                 | 0.5038      | 0.3368      | 0.5289      | 0.4811      |
| 1285.png                 | 0.0197      | 0.0099      | 0.0099      | 1.0000      |
| 1286.png                 | 0.1572      | 0.0853      | 0.0855      | 0.9713      |
| 1287.png                 | 0.7372      | 0.5838      | 0.9712      | 0.5941      |
| 1289.png                 | 0.0314      | 0.0160      | 0.0160      | 0.9506      |
| 1291.png                 | 0.6529      | 0.4846      | 0.5132      | 0.8971      |
| 1293.png                 | 0.1631      | 0.0888      | 0.0891      | 0.9668      |
| 1294.png                 | 0.8777      | 0.7820      | 0.8912      | 0.8645      |
| 1296.png                 | 0.0563      | 0.0290      | 0.0290      | 0.9254      |
| 1297.png                 | 0.7853      | 0.6465      | 0.7785      | 0.7922      |
| 1298.png                 | 0.0413      | 0.0211      | 0.0213      | 0.6480      |
| 1299.png                 | 0.8264      | 0.7041      | 0.9067      | 0.7592      |
| 13.png                   | 0.9679      | 0.9379      | 0.9836      | 0.9527      |
| 1300.png                 | 0.0172      | 0.0087      | 0.0087      | 1.0000      |
| 1302.png                 | 0.5845      | 0.4130      | 0.4165      | 0.9800      |
| 1303.png                 | 0.4670      | 0.3046      | 0.3076      | 0.9689      |
| 1304.png                 | 0.0651      | 0.0337      | 0.0337      | 0.9530      |
| 1305.png                 | 0.0618      | 0.0319      | 0.0319      | 0.9327      |
| 1307.png                 | 0.8964      | 0.8122      | 0.8462      | 0.9529      |
| 1308.png                 | 0.0412      | 0.0210      | 0.0210      | 1.0000      |
| 1309.png                 | 0.0285      | 0.0144      | 0.0144      | 1.0000      |
| 1310.png                 | 0.0694      | 0.0360      | 0.0360      | 0.9449      |
| 1311.png                 | 0.0788      | 0.0410      | 0.0411      | 0.9538      |
| 1312.png                 | 0.7475      | 0.5968      | 0.6167      | 0.9488      |
| 1313.png                 | 0.9285      | 0.8665      | 0.9356      | 0.9214      |
| 1314.png                 | 0.0414      | 0.0211      | 0.0211      | 1.0000      |
| 1315.png                 | 0.9498      | 0.9045      | 0.9820      | 0.9197      |
| 1317.png                 | 0.1507      | 0.0815      | 0.0818      | 0.9545      |
| 1318.png                 | 0.0660      | 0.0341      | 0.0341      | 0.9759      |
| 1319.png                 | 0.4714      | 0.3083      | 0.3116      | 0.9675      |
| 132.png                  | 0.8878      | 0.7982      | 0.9680      | 0.8199      |
| 1320.png                 | 0.7976      | 0.6634      | 0.6994      | 0.9280      |
| 1321.png                 | 0.7845      | 0.6454      | 1.0000      | 0.6454      |
| 1322.png                 | 0.8148      | 0.6874      | 0.9883      | 0.6930      |
| 1323.png                 | 0.7896      | 0.6523      | 0.6913      | 0.9203      |
| 1324.png                 | 0.8756      | 0.7788      | 0.9957      | 0.7814      |
| 1325.png                 | 0.8605      | 0.7552      | 0.9115      | 0.8149      |
| 1326.png                 | 0.8396      | 0.7236      | 0.8311      | 0.8483      |
| 1327.png                 | 0.9201      | 0.8521      | 0.9106      | 0.9299      |
| 1328.png                 | 0.9277      | 0.8652      | 0.9716      | 0.8876      |
| 1329.png                 | 0.8526      | 0.7430      | 0.9972      | 0.7446      |
| 133.png                  | 0.9338      | 0.8758      | 0.9988      | 0.8768      |
| 1330.png                 | 0.5305      | 0.3610      | 0.3763      | 0.8986      |
| 1333.png                 | 0.7323      | 0.5776      | 0.6387      | 0.8579      |
| 1334.png                 | 0.7660      | 0.6208      | 0.9880      | 0.6255      |
| 1335.png                 | 0.8765      | 0.7802      | 0.9988      | 0.7809      |
| 1337.png                 | 0.9203      | 0.8524      | 0.9671      | 0.8779      |
| 134.png                  | 0.9472      | 0.8997      | 0.9721      | 0.9236      |
