
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
------------------------------------------------------------------------------------
| 1.png                    | 0.1168      | 0.0620      | 0.0620      | 1.0000      |
| 10.png                   | 0.8947      | 0.8094      | 0.9921      | 0.8147      |
| 100.png                  | 0.0537      | 0.0276      | 0.0276      | 1.0000      |
| 1000.png                 | 0.7899      | 0.6527      | 0.6749      | 0.9520      |
| 1001.png                 | 0.3560      | 0.2165      | 0.2199      | 0.9340      |
| 1002.png                 | 0.9132      | 0.8403      | 0.9679      | 0.8644      |
| 1003.png                 | 0.8079      | 0.6778      | 0.7204      | 0.9196      |
| 1004.png                 | 0.0340      | 0.0173      | 0.0173      | 0.9636      |
| 1005.png                 | 0.8446      | 0.7311      | 0.7940      | 0.9022      |
| 1006.png                 | 0.0352      | 0.0179      | 0.0179      | 1.0000      |
| 1007.png                 | 0.3678      | 0.2254      | 0.2282      | 0.9485      |
| 1008.png                 | 0.0469      | 0.0240      | 0.0240      | 1.0000      |
| 1009.png                 | 0.9207      | 0.8531      | 0.9453      | 0.8974      |
| 101.png                  | 0.0808      | 0.0421      | 0.0421      | 1.0000      |
| 1010.png                 | 0.0294      | 0.0149      | 0.0149      | 1.0000      |
| 1011.png                 | 0.0332      | 0.0169      | 0.0169      | 0.9469      |
| 1012.png                 | 0.0308      | 0.0156      | 0.0156      | 1.0000      |
| 1013.png                 | 0.0268      | 0.0136      | 0.0136      | 0.9242      |
| 1017.png                 | 0.0344      | 0.0175      | 0.0175      | 1.0000      |
| 1018.png                 | 0.8728      | 0.7743      | 1.0000      | 0.7743      |
| 1019.png                 | 0.9595      | 0.9221      | 0.9637      | 0.9553      |
| 102.png                  | 0.1034      | 0.0545      | 0.0545      | 1.0000      |
| 1020.png                 | 0.9590      | 0.9212      | 0.9670      | 0.9510      |
| 1021.png                 | 0.1082      | 0.0572      | 0.0572      | 1.0000      |
| 1022.png                 | 0.0776      | 0.0403      | 0.0403      | 1.0000      |
