
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
------------------------------------------------------------------------------------
| 1.png                    | 0.8827      | 0.7901      | 0.9421      | 0.8304      |
| 10.png                   | 0.8399      | 0.7240      | 1.0000      | 0.7240      |
| 100.png                  | 0.6546      | 0.4865      | 0.5488      | 0.8109      |
| 1000.png                 | 0.7813      | 0.6411      | 0.6785      | 0.9209      |
| 1001.png                 | 0.8210      | 0.6963      | 0.7789      | 0.8680      |
| 1002.png                 | 0.8560      | 0.7482      | 1.0000      | 0.7482      |
| 1003.png                 | 0.8261      | 0.7037      | 0.8468      | 0.8064      |
| 1004.png                 | 0.8242      | 0.7010      | 0.8033      | 0.8463      |
| 1005.png                 | 0.8716      | 0.7724      | 0.9695      | 0.7916      |
| 1006.png                 | 0.7324      | 0.5777      | 0.6558      | 0.8292      |
| 1007.png                 | 0.7971      | 0.6626      | 0.7199      | 0.8928      |
| 1008.png                 | 0.8987      | 0.8161      | 0.9314      | 0.8683      |
| 1009.png                 | 0.8527      | 0.7433      | 0.9843      | 0.7522      |
| 101.png                  | 0.0000      | 0.0000      | 0.0000      | 0.0000      |
| 1010.png                 | 0.8186      | 0.6930      | 0.8153      | 0.8220      |
| 1011.png                 | 0.8568      | 0.7495      | 0.8903      | 0.8257      |
| 1012.png                 | 0.7513      | 0.6017      | 0.8256      | 0.6892      |
| 1013.png                 | 0.5607      | 0.3896      | 0.4185      | 0.8493      |
| 1017.png                 | 0.7441      | 0.5925      | 0.6154      | 0.9407      |
| 1018.png                 | 0.8288      | 0.7077      | 1.0000      | 0.7077      |
| 1019.png                 | 0.9473      | 0.8999      | 0.9982      | 0.9013      |
| 102.png                  | 0.8934      | 0.8073      | 0.8718      | 0.9161      |
| 1020.png                 | 0.9310      | 0.8709      | 0.9837      | 0.8837      |
| 1021.png                 | 0.8929      | 0.8066      | 0.8770      | 0.9095      |
| 1022.png                 | 0.8596      | 0.7537      | 0.7589      | 0.9911      |
| 1023.png                 | 0.9111      | 0.8367      | 0.9797      | 0.8514      |
| 1024.png                 | 0.7894      | 0.6521      | 0.8619      | 0.7282      |
| 1025.png                 | 0.8848      | 0.7934      | 0.8380      | 0.9372      |
| 1026.png                 | 0.7068      | 0.5465      | 0.5665      | 0.9394      |
| 1027.png                 | 0.7160      | 0.5576      | 0.5749      | 0.9488      |
| 103.png                  | 0.8936      | 0.8077      | 0.9738      | 0.8256      |
| 1032.png                 | 0.4488      | 0.2893      | 0.3001      | 0.8898      |
| 1033.png                 | 0.4102      | 0.2580      | 0.2708      | 0.8454      |
| 1035.png                 | 0.9249      | 0.8603      | 0.9785      | 0.8769      |
| 1036.png                 | 0.9045      | 0.8257      | 0.9797      | 0.8401      |
| 1037.png                 | 0.9208      | 0.8532      | 0.9885      | 0.8617      |
| 1038.png                 | 0.9158      | 0.8446      | 0.9719      | 0.8657      |
| 1039.png                 | 0.9099      | 0.8347      | 0.9725      | 0.8550      |
| 1040.png                 | 0.8517      | 0.7416      | 0.9294      | 0.7859      |
| 1041.png                 | 0.8323      | 0.7128      | 0.9984      | 0.7136      |
| 1042.png                 | 0.7856      | 0.6469      | 0.9761      | 0.6573      |
| 1043.png                 | 0.8935      | 0.8074      | 0.9783      | 0.8222      |
| 1045.png                 | 0.8968      | 0.8128      | 0.9879      | 0.8210      |
| 1046.png                 | 0.6104      | 0.4392      | 0.5098      | 0.7603      |
| 1047.png                 | 0.8304      | 0.7100      | 0.9719      | 0.7248      |
| 1048.png                 | 0.9360      | 0.8796      | 0.9945      | 0.8840      |
| 1049.png                 | 0.9238      | 0.8584      | 0.9905      | 0.8655      |
| 105.png                  | 0.8532      | 0.7440      | 0.9987      | 0.7448      |
| 1050.png                 | 0.9099      | 0.8347      | 0.9842      | 0.8461      |
| 1051.png                 | 0.9197      | 0.8514      | 0.9975      | 0.8532      |
| 1052.png                 | 0.8818      | 0.7887      | 0.9925      | 0.7934      |
| 1053.png                 | 0.7634      | 0.6174      | 0.9125      | 0.6563      |
| 1054.png                 | 0.4916      | 0.3259      | 0.4309      | 0.5722      |
| 1055.png                 | 0.5658      | 0.3945      | 0.7262      | 0.4634      |
| 1056.png                 | 0.6130      | 0.4419      | 0.9833      | 0.4453      |
| 1057.png                 | 0.0249      | 0.0126      | 0.3485      | 0.0129      |
