
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.8895      | 0.8009      | 0.9247      | 0.8569      | 
| 10.png                   | 0.8401      | 0.7243      | 1.0000      | 0.7243      | 
| 100.png                  | 0.6310      | 0.4609      | 0.5187      | 0.8052      | 
| 1000.png                 | 0.7502      | 0.6002      | 0.6260      | 0.9358      | 
| 1001.png                 | 0.7468      | 0.5959      | 0.6374      | 0.9015      | 
| 1002.png                 | 0.8713      | 0.7719      | 0.9918      | 0.7769      | 
| 1003.png                 | 0.8102      | 0.6809      | 0.7853      | 0.8367      | 
| 1004.png                 | 0.8121      | 0.6837      | 0.7597      | 0.8723      | 
| 1005.png                 | 0.8992      | 0.8169      | 0.9601      | 0.8456      | 
| 1006.png                 | 0.3925      | 0.2442      | 0.2551      | 0.8508      | 
| 1007.png                 | 0.7648      | 0.6192      | 0.6502      | 0.9285      | 
| 1008.png                 | 0.9049      | 0.8263      | 0.9091      | 0.9007      | 
| 1009.png                 | 0.8731      | 0.7747      | 0.9714      | 0.7928      | 
| 101.png                  | 0.5508      | 0.3800      | 0.3956      | 0.9062      | 
| 1010.png                 | 0.0432      | 0.0221      | 0.0222      | 0.8402      | 
| 1011.png                 | 0.7443      | 0.5928      | 0.6573      | 0.8579      | 
| 1012.png                 | 0.6923      | 0.5293      | 0.6888      | 0.6958      | 
| 1013.png                 | 0.4802      | 0.3160      | 0.3250      | 0.9190      | 
| 1017.png                 | 0.3657      | 0.2238      | 0.2256      | 0.9661      | 
| 1018.png                 | 0.8578      | 0.7510      | 0.9995      | 0.7513      | 
| 1019.png                 | 0.9743      | 0.9499      | 0.9930      | 0.9563      | 
| 102.png                  | 0.8922      | 0.8054      | 0.8650      | 0.9211      | 
| 1020.png                 | 0.9496      | 0.9040      | 0.9722      | 0.9280      | 
| 1021.png                 | 0.7468      | 0.5959      | 0.6314      | 0.9137      | 
| 1022.png                 | 0.8551      | 0.7468      | 0.7504      | 0.9936      | 
| 1023.png                 | 0.9195      | 0.8510      | 0.9801      | 0.8660      | 
| 1024.png                 | 0.7861      | 0.6476      | 0.8534      | 0.7287      | 
| 1025.png                 | 0.0381      | 0.0194      | 0.0194      | 0.9593      | 
| 1026.png                 | 0.1837      | 0.1012      | 0.1018      | 0.9450      | 
| 1027.png                 | 0.2226      | 0.1253      | 0.1263      | 0.9412      | 
| 103.png                  | 0.8941      | 0.8085      | 0.9730      | 0.8270      | 
| 1032.png                 | 0.4549      | 0.2944      | 0.3022      | 0.9197      | 
| 1033.png                 | 0.4186      | 0.2647      | 0.2755      | 0.8708      | 
| 1035.png                 | 0.9271      | 0.8641      | 0.9728      | 0.8855      | 
| 1036.png                 | 0.9157      | 0.8445      | 0.9671      | 0.8695      | 
| 1037.png                 | 0.9305      | 0.8701      | 0.9754      | 0.8896      | 
| 1038.png                 | 0.9125      | 0.8390      | 0.9262      | 0.8991      | 
| 1039.png                 | 0.9244      | 0.8595      | 0.9542      | 0.8965      | 
| 1040.png                 | 0.8152      | 0.6881      | 0.8220      | 0.8086      | 
| 1041.png                 | 0.8354      | 0.7174      | 0.9960      | 0.7194      | 
| 1042.png                 | 0.7753      | 0.6331      | 0.8580      | 0.7072      | 
| 1043.png                 | 0.2186      | 0.1227      | 0.1250      | 0.8698      | 
| 1045.png                 | 0.9268      | 0.8637      | 0.9548      | 0.9005      | 
| 1046.png                 | 0.6277      | 0.4574      | 0.5043      | 0.8308      | 
| 1047.png                 | 0.8268      | 0.7047      | 0.9534      | 0.7298      | 
| 1048.png                 | 0.9420      | 0.8903      | 0.9929      | 0.8960      | 
| 1049.png                 | 0.9278      | 0.8653      | 0.9452      | 0.9111      | 
| 105.png                  | 0.8650      | 0.7621      | 0.9964      | 0.7641      | 
| 1050.png                 | 0.9240      | 0.8587      | 0.9722      | 0.8803      | 
| 1051.png                 | 0.9292      | 0.8678      | 0.9935      | 0.8727      | 
| 1052.png                 | 0.8970      | 0.8133      | 0.9879      | 0.8215      | 
| 1053.png                 | 0.7937      | 0.6580      | 0.9057      | 0.7064      | 
| 1054.png                 | 0.3767      | 0.2320      | 0.2678      | 0.6346      | 
| 1055.png                 | 0.6323      | 0.4624      | 0.7169      | 0.5656      | 
| 1056.png                 | 0.6899      | 0.5266      | 0.9509      | 0.5413      | 
| 1057.png                 | 0.7191      | 0.5614      | 0.6358      | 0.8276      | 
| 1058.png                 | 0.6077      | 0.4365      | 0.5150      | 0.7411      | 
| 1061.png                 | 0.6962      | 0.5340      | 0.5790      | 0.8730      | 
| 1062.png                 | 0.7465      | 0.5955      | 0.7905      | 0.7072      | 
| 1063.png                 | 0.6482      | 0.4795      | 0.5553      | 0.7783      | 
| 1066.png                 | 0.3780      | 0.2330      | 0.9006      | 0.2392      | 
| 1070.png                 | 0.7728      | 0.6298      | 0.9785      | 0.6386      | 
| 1071.png                 | 0.7234      | 0.5667      | 1.0000      | 0.5667      | 
| 1072.png                 | 0.0324      | 0.0165      | 0.0165      | 1.0000      | 
| 1075.png                 | 0.4878      | 0.3226      | 1.0000      | 0.3226      | 
| 1076.png                 | 0.4609      | 0.2994      | 1.0000      | 0.2994      | 
| 1087.png                 | 0.7017      | 0.5405      | 0.9509      | 0.5560      | 
| 1089.png                 | 0.7309      | 0.5759      | 0.9632      | 0.5889      | 
| 109.png                  | 0.8828      | 0.7902      | 0.9916      | 0.7955      | 
| 1090.png                 | 0.7807      | 0.6403      | 0.9686      | 0.6539      | 
| 1091.png                 | 0.7189      | 0.5612      | 0.9777      | 0.5685      | 
| 1092.png                 | 0.8724      | 0.7736      | 0.9701      | 0.7926      | 
| 1094.png                 | 0.5749      | 0.4034      | 0.9553      | 0.4111      | 
| 1095.png                 | 0.6497      | 0.4812      | 1.0000      | 0.4812      | 
| 1096.png                 | 0.6712      | 0.5051      | 0.9940      | 0.5067      | 
| 1097.png                 | 0.8076      | 0.6773      | 0.8794      | 0.7466      | 
| 1098.png                 | 0.7247      | 0.5683      | 0.7250      | 0.7245      | 
| 1099.png                 | 0.3163      | 0.1878      | 0.1944      | 0.8472      | 
| 11.png                   | 0.9481      | 0.9014      | 0.9959      | 0.9048      | 
| 1100.png                 | 0.6550      | 0.4870      | 0.9959      | 0.4880      | 
| 1101.png                 | 0.6791      | 0.5141      | 0.9096      | 0.5418      | 
| 1102.png                 | 0.6951      | 0.5327      | 0.9957      | 0.5339      | 
| 1103.png                 | 0.5440      | 0.3737      | 0.8396      | 0.4024      | 
| 1104.png                 | 0.4627      | 0.3010      | 0.9643      | 0.3043      | 
| 1105.png                 | 0.4881      | 0.3229      | 0.9917      | 0.3237      | 
| 1106.png                 | 0.7151      | 0.5566      | 0.9910      | 0.5594      | 
| 1107.png                 | 0.7523      | 0.6030      | 0.9931      | 0.6056      | 
| 1108.png                 | 0.7199      | 0.5624      | 0.8725      | 0.6128      | 
| 1110.png                 | 0.7551      | 0.6065      | 0.9992      | 0.6068      | 
| 1111.png                 | 0.7797      | 0.6389      | 0.9825      | 0.6462      | 
| 1114.png                 | 0.8014      | 0.6687      | 0.6947      | 0.9469      | 
| 1118.png                 | 0.9066      | 0.8292      | 0.8672      | 0.9498      | 
| 112.png                  | 0.8647      | 0.7617      | 0.9111      | 0.8228      | 
| 1122.png                 | 0.9318      | 0.8723      | 0.9641      | 0.9016      | 
| 1123.png                 | 0.7673      | 0.6224      | 0.7150      | 0.8278      | 
| 1125.png                 | 0.5972      | 0.4257      | 0.4465      | 0.9012      | 
| 1126.png                 | 0.6787      | 0.5137      | 0.5271      | 0.9527      | 
| 1127.png                 | 0.7550      | 0.6064      | 0.6344      | 0.9322      | 
| 1129.png                 | 0.7889      | 0.6514      | 0.9987      | 0.6520      | 
| 113.png                  | 0.9132      | 0.8402      | 0.9925      | 0.8456      | 
| 1130.png                 | 0.9319      | 0.8724      | 0.9750      | 0.8924      | 
| 1131.png                 | 0.9323      | 0.8732      | 0.9879      | 0.8826      | 
| 1132.png                 | 0.9354      | 0.8786      | 0.9552      | 0.9164      | 
| 1133.png                 | 0.7354      | 0.5816      | 0.7301      | 0.7409      | 
| 1134.png                 | 0.8493      | 0.7380      | 0.9798      | 0.7495      | 
| 1135.png                 | 0.8717      | 0.7726      | 0.8225      | 0.9272      | 
| 1136.png                 | 0.8418      | 0.7268      | 0.7575      | 0.9473      | 
| 1137.png                 | 0.8763      | 0.7799      | 0.9558      | 0.8090      | 
| 1138.png                 | 0.3951      | 0.2462      | 0.2971      | 0.5898      | 
| 114.png                  | 0.9287      | 0.8669      | 0.9794      | 0.8830      | 
