
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.8901      | 0.8020      | 0.9215      | 0.8608      | 
| 10.png                   | 0.8401      | 0.7243      | 1.0000      | 0.7243      | 
| 100.png                  | 0.6271      | 0.4568      | 0.5126      | 0.8076      | 
| 1000.png                 | 0.7222      | 0.5652      | 0.5996      | 0.9079      | 
| 1001.png                 | 0.7353      | 0.5814      | 0.6192      | 0.9050      | 
| 1002.png                 | 0.8780      | 0.7825      | 0.9883      | 0.7898      | 
| 1003.png                 | 0.7606      | 0.6137      | 0.6942      | 0.8411      | 
| 1004.png                 | 0.8135      | 0.6857      | 0.7595      | 0.8758      | 
| 1005.png                 | 0.8992      | 0.8169      | 0.9601      | 0.8456      | 
| 1006.png                 | 0.3822      | 0.2363      | 0.2464      | 0.8521      | 
| 1007.png                 | 0.7625      | 0.6162      | 0.6469      | 0.9285      | 
| 1008.png                 | 0.9101      | 0.8350      | 0.9036      | 0.9167      | 
| 1009.png                 | 0.8732      | 0.7749      | 0.9707      | 0.7935      | 
| 101.png                  | 0.5409      | 0.3707      | 0.3854      | 0.9068      | 
| 1010.png                 | 0.0367      | 0.0187      | 0.0188      | 0.8402      | 
| 1011.png                 | 0.3041      | 0.1793      | 0.1835      | 0.8871      | 
| 1012.png                 | 0.6915      | 0.5285      | 0.6873      | 0.6958      | 
| 1013.png                 | 0.4429      | 0.2844      | 0.2910      | 0.9268      | 
| 1017.png                 | 0.3625      | 0.2214      | 0.2231      | 0.9661      | 
| 1018.png                 | 0.8606      | 0.7554      | 0.9995      | 0.7557      | 
| 1019.png                 | 0.9772      | 0.9553      | 0.9927      | 0.9621      | 
| 102.png                  | 0.8933      | 0.8071      | 0.8634      | 0.9253      | 
| 1020.png                 | 0.9500      | 0.9048      | 0.9707      | 0.9302      | 
| 1021.png                 | 0.7319      | 0.5772      | 0.6105      | 0.9137      | 
| 1022.png                 | 0.8551      | 0.7468      | 0.7504      | 0.9936      | 
| 1023.png                 | 0.9195      | 0.8510      | 0.9801      | 0.8660      | 
| 1024.png                 | 0.7861      | 0.6476      | 0.8534      | 0.7287      | 
| 1025.png                 | 0.0373      | 0.0190      | 0.0190      | 0.9569      | 
| 1026.png                 | 0.1922      | 0.1063      | 0.1070      | 0.9389      | 
| 1027.png                 | 0.2127      | 0.1190      | 0.1199      | 0.9426      | 
| 103.png                  | 0.8941      | 0.8085      | 0.9730      | 0.8270      | 
| 1032.png                 | 0.2758      | 0.1600      | 0.1619      | 0.9320      | 
| 1033.png                 | 0.4194      | 0.2654      | 0.2728      | 0.9071      | 
| 1035.png                 | 0.9271      | 0.8641      | 0.9728      | 0.8855      | 
| 1036.png                 | 0.9195      | 0.8511      | 0.9642      | 0.8788      | 
| 1037.png                 | 0.9304      | 0.8698      | 0.9749      | 0.8898      | 
| 1038.png                 | 0.6890      | 0.5256      | 0.5583      | 0.8999      | 
| 1039.png                 | 0.9110      | 0.8366      | 0.9166      | 0.9055      | 
| 1040.png                 | 0.7955      | 0.6604      | 0.7817      | 0.8098      | 
| 1041.png                 | 0.8354      | 0.7174      | 0.9960      | 0.7194      | 
| 1042.png                 | 0.7946      | 0.6592      | 0.7964      | 0.7928      | 
| 1043.png                 | 0.2124      | 0.1188      | 0.1209      | 0.8712      | 
| 1045.png                 | 0.9396      | 0.8860      | 0.9440      | 0.9352      | 
| 1046.png                 | 0.6309      | 0.4608      | 0.5038      | 0.8436      | 
| 1047.png                 | 0.8038      | 0.6720      | 0.8942      | 0.7301      | 
| 1048.png                 | 0.9421      | 0.8905      | 0.9929      | 0.8962      | 
| 1049.png                 | 0.9259      | 0.8620      | 0.9391      | 0.9130      | 
| 105.png                  | 0.8653      | 0.7626      | 0.9964      | 0.7647      | 
| 1050.png                 | 0.9247      | 0.8599      | 0.9711      | 0.8824      | 
| 1051.png                 | 0.9298      | 0.8688      | 0.9923      | 0.8747      | 
| 1052.png                 | 0.9008      | 0.8195      | 0.9866      | 0.8287      | 
| 1053.png                 | 0.7937      | 0.6580      | 0.9057      | 0.7064      | 
| 1054.png                 | 0.3541      | 0.2151      | 0.2455      | 0.6352      | 
| 1055.png                 | 0.6391      | 0.4696      | 0.7146      | 0.5780      | 
| 1056.png                 | 0.6901      | 0.5268      | 0.9509      | 0.5415      | 
| 1057.png                 | 0.7191      | 0.5614      | 0.6358      | 0.8276      | 
| 1058.png                 | 0.4557      | 0.2951      | 0.3266      | 0.7532      | 
| 1061.png                 | 0.6495      | 0.4809      | 0.5136      | 0.8830      | 
| 1062.png                 | 0.6878      | 0.5242      | 0.6448      | 0.7369      | 
| 1063.png                 | 0.6669      | 0.5002      | 0.5517      | 0.8427      | 
| 1066.png                 | 0.3546      | 0.2155      | 0.5334      | 0.2656      | 
| 1070.png                 | 0.7975      | 0.6633      | 0.9559      | 0.6842      | 
| 1071.png                 | 0.8686      | 0.7678      | 0.8864      | 0.8515      | 
| 1072.png                 | 0.0320      | 0.0163      | 0.0163      | 1.0000      | 
