
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.8885      | 0.7994      | 0.9301      | 0.8505      | 
| 10.png                   | 0.8401      | 0.7243      | 1.0000      | 0.7243      | 
| 100.png                  | 0.6370      | 0.4673      | 0.5234      | 0.8133      | 
| 1000.png                 | 0.7721      | 0.6288      | 0.6581      | 0.9339      | 
| 1001.png                 | 0.8055      | 0.6743      | 0.7359      | 0.8896      | 
| 1002.png                 | 0.8664      | 0.7643      | 0.9944      | 0.7676      | 
| 1003.png                 | 0.8141      | 0.6864      | 0.7988      | 0.8299      | 
| 1004.png                 | 0.8158      | 0.6890      | 0.7683      | 0.8696      | 
| 1005.png                 | 0.8940      | 0.8083      | 0.9615      | 0.8353      | 
| 1006.png                 | 0.3991      | 0.2493      | 0.2611      | 0.8469      | 
| 1007.png                 | 0.7779      | 0.6366      | 0.6778      | 0.9128      | 
| 1008.png                 | 0.8988      | 0.8162      | 0.9118      | 0.8862      | 
| 1009.png                 | 0.8673      | 0.7657      | 0.9743      | 0.7815      | 
| 101.png                  | 0.5565      | 0.3856      | 0.4018      | 0.9050      | 
| 1010.png                 | 0.7800      | 0.6393      | 0.7284      | 0.8394      | 
| 1011.png                 | 0.7822      | 0.6423      | 0.7214      | 0.8542      | 
| 1012.png                 | 0.6943      | 0.5317      | 0.6935      | 0.6951      | 
| 1013.png                 | 0.5180      | 0.3495      | 0.3651      | 0.8915      | 
| 1017.png                 | 0.6722      | 0.5062      | 0.5160      | 0.9637      | 
| 1018.png                 | 0.8496      | 0.7386      | 1.0000      | 0.7386      | 
| 1019.png                 | 0.9618      | 0.9264      | 0.9952      | 0.9306      | 
| 102.png                  | 0.8917      | 0.8046      | 0.8658      | 0.9192      | 
| 1020.png                 | 0.9458      | 0.8971      | 0.9771      | 0.9164      | 
| 1021.png                 | 0.8881      | 0.7987      | 0.8642      | 0.9133      | 
| 1022.png                 | 0.8560      | 0.7482      | 0.7518      | 0.9936      | 
| 1023.png                 | 0.9184      | 0.8491      | 0.9800      | 0.8641      | 
| 1024.png                 | 0.7861      | 0.6476      | 0.8534      | 0.7287      | 
| 1025.png                 | 0.8006      | 0.6675      | 0.6958      | 0.9427      | 
| 1026.png                 | 0.5863      | 0.4147      | 0.4248      | 0.9460      | 
| 1027.png                 | 0.5282      | 0.3588      | 0.3669      | 0.9421      | 
| 103.png                  | 0.8941      | 0.8085      | 0.9730      | 0.8270      | 
| 1032.png                 | 0.4566      | 0.2958      | 0.3049      | 0.9085      | 
| 1033.png                 | 0.4118      | 0.2593      | 0.2701      | 0.8665      | 
| 1035.png                 | 0.9279      | 0.8654      | 0.9745      | 0.8855      | 
| 1036.png                 | 0.9143      | 0.8421      | 0.9726      | 0.8625      | 
| 1037.png                 | 0.9302      | 0.8695      | 0.9819      | 0.8837      | 
| 1038.png                 | 0.9134      | 0.8406      | 0.9334      | 0.8943      | 
| 1039.png                 | 0.9194      | 0.8509      | 0.9604      | 0.8818      | 
| 1040.png                 | 0.8519      | 0.7419      | 0.9061      | 0.8038      | 
| 1041.png                 | 0.8354      | 0.7174      | 0.9960      | 0.7194      | 
| 1042.png                 | 0.7736      | 0.6307      | 0.8804      | 0.6899      | 
| 1043.png                 | 0.8838      | 0.7918      | 0.9033      | 0.8651      | 
| 1045.png                 | 0.9175      | 0.8476      | 0.9678      | 0.8722      | 
| 1046.png                 | 0.6266      | 0.4563      | 0.5057      | 0.8234      | 
| 1047.png                 | 0.8274      | 0.7056      | 0.9558      | 0.7293      | 
| 1048.png                 | 0.9411      | 0.8888      | 0.9929      | 0.8945      | 
| 1049.png                 | 0.9217      | 0.8547      | 0.9499      | 0.8951      | 
| 105.png                  | 0.8607      | 0.7555      | 0.9969      | 0.7573      | 
| 1050.png                 | 0.9167      | 0.8462      | 0.9746      | 0.8653      | 
| 1051.png                 | 0.9270      | 0.8639      | 0.9952      | 0.8675      | 
| 1052.png                 | 0.8949      | 0.8098      | 0.9916      | 0.8154      | 
| 1053.png                 | 0.7893      | 0.6519      | 0.9027      | 0.7012      | 
| 1054.png                 | 0.3866      | 0.2396      | 0.2797      | 0.6260      | 
| 1055.png                 | 0.6302      | 0.4600      | 0.7294      | 0.5547      | 
| 1056.png                 | 0.6529      | 0.4847      | 0.9731      | 0.4913      | 
| 1057.png                 | 0.7230      | 0.5662      | 0.6512      | 0.8127      | 
| 1058.png                 | 0.6105      | 0.4394      | 0.5194      | 0.7405      | 
| 1061.png                 | 0.6861      | 0.5222      | 0.5701      | 0.8613      | 
| 1062.png                 | 0.7366      | 0.5830      | 0.7903      | 0.6897      | 
| 1063.png                 | 0.6615      | 0.4942      | 0.5887      | 0.7548      | 
| 1066.png                 | 0.3546      | 0.2155      | 0.9388      | 0.2186      | 
| 1070.png                 | 0.7273      | 0.5714      | 0.9880      | 0.5754      | 
| 1071.png                 | 0.6931      | 0.5303      | 1.0000      | 0.5303      | 
| 1072.png                 | 0.6414      | 0.4721      | 1.0000      | 0.4721      | 
| 1075.png                 | 0.4568      | 0.2960      | 1.0000      | 0.2960      | 
| 1076.png                 | 0.3823      | 0.2363      | 1.0000      | 0.2363      | 
| 1087.png                 | 0.6929      | 0.5301      | 0.9597      | 0.5422      | 
| 1089.png                 | 0.7144      | 0.5557      | 0.9685      | 0.5659      | 
| 109.png                  | 0.8800      | 0.7858      | 0.9930      | 0.7902      | 
| 1090.png                 | 0.7697      | 0.6256      | 0.9770      | 0.6350      | 
| 1091.png                 | 0.7014      | 0.5402      | 0.9821      | 0.5455      | 
| 1092.png                 | 0.8671      | 0.7653      | 0.9714      | 0.7830      | 
| 1094.png                 | 0.5438      | 0.3735      | 0.9397      | 0.3826      | 
| 1095.png                 | 0.6411      | 0.4718      | 1.0000      | 0.4718      | 
| 1096.png                 | 0.6515      | 0.4831      | 0.9958      | 0.4841      | 
| 1097.png                 | 0.8036      | 0.6717      | 0.8879      | 0.7339      | 
| 1098.png                 | 0.7286      | 0.5731      | 0.7428      | 0.7150      | 
| 1099.png                 | 0.3873      | 0.2402      | 0.2516      | 0.8405      | 
| 11.png                   | 0.9464      | 0.8983      | 0.9958      | 0.9017      | 
| 1100.png                 | 0.6210      | 0.4504      | 0.9978      | 0.4508      | 
| 1101.png                 | 0.6573      | 0.4895      | 0.9326      | 0.5074      | 
| 1102.png                 | 0.6544      | 0.4863      | 0.9953      | 0.4874      | 
| 1103.png                 | 0.5162      | 0.3478      | 0.8374      | 0.3730      | 
| 1104.png                 | 0.3864      | 0.2394      | 1.0000      | 0.2394      | 
| 1105.png                 | 0.4795      | 0.3153      | 0.9928      | 0.3161      | 
| 1106.png                 | 0.6871      | 0.5234      | 0.9904      | 0.5261      | 
| 1107.png                 | 0.7317      | 0.5769      | 0.9958      | 0.5783      | 
| 1108.png                 | 0.7088      | 0.5489      | 0.8883      | 0.5896      | 
| 1110.png                 | 0.7469      | 0.5960      | 0.9992      | 0.5963      | 
| 1111.png                 | 0.7762      | 0.6342      | 0.9865      | 0.6398      | 
| 1114.png                 | 0.8098      | 0.6804      | 0.7117      | 0.9392      | 
| 1118.png                 | 0.3630      | 0.2217      | 0.7024      | 0.2447      | 
| 112.png                  | 0.8643      | 0.7611      | 0.9173      | 0.8172      | 
| 1122.png                 | 0.9218      | 0.8549      | 0.9678      | 0.8800      | 
| 1123.png                 | 0.8479      | 0.7359      | 0.8748      | 0.8226      | 
