
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      |
------------------------------------------------------------------------------------
| 1.png                    | 0.8872      | 0.7973      | 0.9301      | 0.8481      |
| 10.png                   | 0.8396      | 0.7235      | 1.0000      | 0.7235      |
| 100.png                  | 0.6378      | 0.4682      | 0.5255      | 0.8113      |
| 1000.png                 | 0.7723      | 0.6291      | 0.6584      | 0.9339      |
| 1001.png                 | 0.7999      | 0.6665      | 0.7352      | 0.8771      |
| 1002.png                 | 0.8659      | 0.7636      | 0.9944      | 0.7669      |
| 1003.png                 | 0.8123      | 0.6839      | 0.7994      | 0.8256      |
| 1004.png                 | 0.8151      | 0.6879      | 0.7703      | 0.8655      |
| 1005.png                 | 0.8909      | 0.8033      | 0.9613      | 0.8302      |
| 1006.png                 | 0.4024      | 0.2519      | 0.2641      | 0.8449      |
| 1007.png                 | 0.7811      | 0.6408      | 0.6838      | 0.9107      |
| 1008.png                 | 0.8970      | 0.8133      | 0.9128      | 0.8818      |
| 1009.png                 | 0.8673      | 0.7657      | 0.9743      | 0.7815      |
| 101.png                  | 0.5503      | 0.3796      | 0.3999      | 0.8821      |
| 1010.png                 | 0.7827      | 0.6429      | 0.7344      | 0.8377      |
| 1011.png                 | 0.7780      | 0.6367      | 0.7235      | 0.8414      |
| 1012.png                 | 0.7000      | 0.5385      | 0.7073      | 0.6929      |
| 1013.png                 | 0.5277      | 0.3584      | 0.3755      | 0.8872      |
| 1017.png                 | 0.6737      | 0.5080      | 0.5181      | 0.9631      |
| 1018.png                 | 0.8483      | 0.7366      | 1.0000      | 0.7366      |
| 1019.png                 | 0.9615      | 0.9258      | 0.9952      | 0.9299      |
| 102.png                  | 0.8916      | 0.8045      | 0.8687      | 0.9158      |
| 1020.png                 | 0.9453      | 0.8962      | 0.9770      | 0.9155      |
| 1021.png                 | 0.8871      | 0.7972      | 0.8649      | 0.9105      |
| 1022.png                 | 0.8568      | 0.7495      | 0.7531      | 0.9936      |
| 1023.png                 | 0.9167      | 0.8462      | 0.9800      | 0.8611      |
| 1024.png                 | 0.7839      | 0.6446      | 0.8537      | 0.7247      |
| 1025.png                 | 0.8205      | 0.6956      | 0.7267      | 0.9421      |
| 1026.png                 | 0.6015      | 0.4301      | 0.4420      | 0.9409      |
| 1027.png                 | 0.5329      | 0.3633      | 0.3719      | 0.9402      |
| 103.png                  | 0.8932      | 0.8071      | 0.9734      | 0.8253      |
| 1032.png                 | 0.4587      | 0.2976      | 0.3071      | 0.9059      |
| 1033.png                 | 0.4170      | 0.2635      | 0.2752      | 0.8609      |
| 1035.png                 | 0.9280      | 0.8657      | 0.9748      | 0.8855      |
| 1036.png                 | 0.9139      | 0.8415      | 0.9730      | 0.8616      |
| 1037.png                 | 0.9296      | 0.8684      | 0.9821      | 0.8824      |
