
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.2108      | 0.1178      | 0.1278      | 0.6028      | 
| 10.png                   | 0.3866      | 0.2396      | 0.2559      | 0.7899      | 
| 100.png                  | 0.1311      | 0.0701      | 0.0717      | 0.7573      | 
| 1000.png                 | 0.0811      | 0.0423      | 0.0431      | 0.6907      | 
| 1001.png                 | 0.0722      | 0.0374      | 0.0388      | 0.5236      | 
| 1002.png                 | 0.0699      | 0.0362      | 0.0369      | 0.6722      | 
| 1003.png                 | 0.0964      | 0.0506      | 0.0511      | 0.8355      | 
| 1004.png                 | 0.0890      | 0.0466      | 0.0470      | 0.8394      | 
| 1005.png                 | 0.0795      | 0.0414      | 0.0416      | 0.8851      | 
| 1006.png                 | 0.0925      | 0.0485      | 0.0490      | 0.8285      | 
| 1007.png                 | 0.1000      | 0.0527      | 0.0530      | 0.8971      | 
| 1008.png                 | 0.1350      | 0.0724      | 0.0733      | 0.8470      | 
| 1009.png                 | 0.0950      | 0.0499      | 0.0506      | 0.7841      | 
| 101.png                  | 0.1717      | 0.0939      | 0.0976      | 0.7126      | 
| 1010.png                 | 0.0229      | 0.0116      | 0.0119      | 0.3055      | 
| 1011.png                 | 0.0405      | 0.0207      | 0.0211      | 0.5123      | 
| 1012.png                 | 0.0441      | 0.0226      | 0.0230      | 0.5342      | 
| 1013.png                 | 0.0381      | 0.0194      | 0.0199      | 0.4453      | 
| 1017.png                 | 0.0490      | 0.0251      | 0.0262      | 0.3747      | 
| 1018.png                 | 0.1646      | 0.0897      | 0.0924      | 0.7521      | 
| 1019.png                 | 0.2619      | 0.1507      | 0.1540      | 0.8747      | 
| 102.png                  | 0.2520      | 0.1441      | 0.1518      | 0.7410      | 
| 1020.png                 | 0.2418      | 0.1375      | 0.1467      | 0.6866      | 
| 1021.png                 | 0.1920      | 0.1062      | 0.1119      | 0.6758      | 
| 1022.png                 | 0.1644      | 0.0895      | 0.0935      | 0.6789      | 
| 1023.png                 | 0.1456      | 0.0785      | 0.0842      | 0.5367      | 
| 1024.png                 | 0.0671      | 0.0347      | 0.0370      | 0.3616      | 
| 1025.png                 | 0.0042      | 0.0021      | 0.0022      | 0.0474      | 
| 1026.png                 | 0.0095      | 0.0048      | 0.0050      | 0.0825      | 
| 1027.png                 | 0.0155      | 0.0078      | 0.0084      | 0.1033      | 
| 103.png                  | 0.2272      | 0.1281      | 0.1324      | 0.8003      | 
| 1032.png                 | 0.0398      | 0.0203      | 0.0227      | 0.1621      | 
| 1033.png                 | 0.0338      | 0.0172      | 0.0191      | 0.1460      | 
| 1035.png                 | 0.2037      | 0.1134      | 0.1177      | 0.7585      | 
| 1036.png                 | 0.2392      | 0.1358      | 0.1447      | 0.6890      | 
| 1037.png                 | 0.2626      | 0.1511      | 0.1619      | 0.6946      | 
| 1038.png                 | 0.2766      | 0.1605      | 0.1687      | 0.7684      | 
| 1039.png                 | 0.2833      | 0.1650      | 0.1705      | 0.8364      | 
| 1040.png                 | 0.2387      | 0.1355      | 0.1439      | 0.7007      | 
| 1041.png                 | 0.1280      | 0.0684      | 0.0708      | 0.6717      | 
| 1042.png                 | 0.0892      | 0.0467      | 0.0489      | 0.5105      | 
