| Anh         | Dice      | IoU       |
|-------------|-----------|-----------|
| 1.png       | 0| 0 |
| 10.png      | 0| 0 |
| 100.png     | 0| 0 |
| 1000.png    | 0| 0 |
| 1001.png    | 0| 0 |
| 1002.png    | 0| 0 |
| 1003.png    | 0| 0 |
| 1004.png    | 0| 0 |
| 1005.png    | 0| 0 |
| 1006.png    | 0| 0 |
| 1007.png    | 0| 0 |
| 1008.png    | 0| 0 |
| 1009.png    | 0| 0 |
| 101.png     | 0| 0 |
| 1010.png    | 0| 0 |
| 1011.png    | 0| 0 |
| 1012.png    | 0| 0 |
| 1013.png    | 0| 0 |
| 1017.png    | 0| 0 |
| 1018.png    | 0| 0 |
| 1019.png    | 0| 0 |
| 102.png     | 0| 0 |
| 1020.png    | 0| 0 |
| 1021.png    | 0| 0 |
| 1022.png    | 0| 0 |
| 1023.png    | 0| 0 |
| 1024.png    | 0| 0 |
| 1025.png    | 0| 0 |
| 1026.png    | 0| 0 |
| 1027.png    | 0| 0 |
| 103.png     | 0| 0 |
| 1032.png    | 0| 0 |
| 1033.png    | 0| 0 |
| 1035.png    | 0| 0 |
| 1036.png    | 0| 0 |
| 1037.png    | 0| 0 |
| 1038.png    | 0| 0 |
| 1039.png    | 0| 0 |
| 1040.png    | 0.0014068           | 0.000703895             |
| 1041.png    | 0| 0 |
| 1042.png    | 0| 0 |
| 1043.png    | 0| 0 |
| 1045.png    | 0.00206612           | 0.00103413            |
| 1046.png    | 0.398713          | 0.248995           |
| 1047.png    | 0| 0 |
| 1048.png    | 0| 0 |
| 1049.png    | 0| 0 |
| 105.png     | 0| 0 |
| 1050.png    | 0| 0 |
| 1051.png    | 0| 0 |
| 1052.png    | 0| 0 |
| 1053.png    | 0.00164429           | 0.00082282             |
| 1054.png    | 0| 0 |
| 1055.png    | 0| 0 |
| 1056.png    | 0| 0 |
| 1057.png    | 0| 0 |
| 1058.png    | 0| 0 |
| 1061.png    | 0| 0 |
| 1062.png    | 0| 0 |
| 1063.png    | 0.000481464            | 0.00024079             |
| 1066.png    | 0| 0 |
| 1070.png    | 0.323529          | 0.192982           |
| 1071.png    | 0.428283          | 0.272494           |
| 1072.png    | 0.237037          | 0.134454           |
| 1075.png    | 0.20162          | 0.112112           |
| 1076.png    | 0.196823          | 0.109153           |
| 1087.png    | 0.000600962            | 0.000300571             |
| 1089.png    | 0| 0 |
| 109.png     | 0| 0 |
| 1090.png    | 0| 0 |
| 1091.png    | 0| 0 |
| 1092.png    | 0| 0 |
| 1094.png    | 0| 0 |
| 1095.png    | 0| 0 |
| 1096.png    | 0| 0 |
| 1097.png    | 0| 0 |
| 1098.png    | 0| 0 |
| 1099.png    | 0| 0 |
| 11.png      | 0| 0 |
| 1100.png    | 0| 0 |
| 1101.png    | 0| 0 |
| 1102.png    | 0| 0 |
| 1103.png    | 0| 0 |
| 1104.png    | 0| 0 |
| 1105.png    | 0| 0 |
| 1106.png    | 0| 0 |
| 1107.png    | 0.241169          | 0.137119           |
| 1108.png    | 0| 0 |
| 1110.png    | 0| 0 |
| 1111.png    | 0| 0 |
| 1114.png    | 0| 0 |
| 1118.png    | 0| 0 |
