
==================== BANG DANH GIA MASK ====================
------------------------------------------------------------------------------------
| File                     | Dice        | IoU         | Precision   | Recall      | 
------------------------------------------------------------------------------------
| 1.png                    | 0.0200      | 0.0101      | 0.0113      | 0.0902      | 
| 10.png                   | 0.3876      | 0.2404      | 0.6973      | 0.2684      | 
| 100.png                  | 0.0151      | 0.0076      | 0.0080      | 0.1506      | 
| 1000.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1001.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1002.png                 | 0.0061      | 0.0030      | 0.0033      | 0.0380      | 
| 1003.png                 | 0.0045      | 0.0023      | 0.0024      | 0.0519      | 
| 1004.png                 | 0.0023      | 0.0012      | 0.0012      | 0.0453      | 
| 1005.png                 | 0.0025      | 0.0013      | 0.0013      | 0.0729      | 
| 1006.png                 | 0.0030      | 0.0015      | 0.0015      | 0.0504      | 
| 1007.png                 | 0.0001      | 0.0001      | 0.0001      | 0.0029      | 
| 1008.png                 | 0.0050      | 0.0025      | 0.0026      | 0.0765      | 
| 1009.png                 | 0.0049      | 0.0025      | 0.0025      | 0.1199      | 
| 101.png                  | 0.0148      | 0.0074      | 0.0078      | 0.1225      | 
| 1010.png                 | 0.0065      | 0.0032      | 0.0033      | 0.2028      | 
| 1011.png                 | 0.0035      | 0.0017      | 0.0018      | 0.0942      | 
| 1012.png                 | 0.0091      | 0.0046      | 0.0046      | 0.2838      | 
| 1013.png                 | 0.0005      | 0.0002      | 0.0002      | 0.0138      | 
| 1017.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1018.png                 | 0.0073      | 0.0036      | 0.0038      | 0.1138      | 
| 1019.png                 | 0.0021      | 0.0011      | 0.0011      | 0.0305      | 
| 102.png                  | 0.0021      | 0.0010      | 0.0011      | 0.0118      | 
| 1020.png                 | 0.0043      | 0.0021      | 0.0022      | 0.0608      | 
| 1021.png                 | 0.0033      | 0.0016      | 0.0018      | 0.0241      | 
| 1022.png                 | 0.0003      | 0.0002      | 0.0002      | 0.0039      | 
| 1023.png                 | 0.0067      | 0.0034      | 0.0035      | 0.0814      | 
| 1024.png                 | 0.0127      | 0.0064      | 0.0065      | 0.2833      | 
| 1025.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1026.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 1027.png                 | 0.0000      | 0.0000      | 0.0000      | 0.0000      | 
| 103.png                  | 0.0102      | 0.0052      | 0.0053      | 0.1333      | 
